frame_name,x,y,points,frame,video_name,subject
frame_0000.png,104,165,p1,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,111,127,p2,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,50,118,p3,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,92,68,p4,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,48,45,p5,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,141,68,p6,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,205,161,p7,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,139,174,p8,0,recording_2022-08-17_trial2-arm,0
frame_0010.png,103,164,p1,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,108,127,p2,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,51,121,p3,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,92,68,p4,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,47,46,p5,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,135,67,p6,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,206,159,p7,10,recording_2022-08-17_trial2-arm,0
frame_0010.png,132,173,p8,10,recording_2022-08-17_trial2-arm,0
frame_0020.png,101,164,p1,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,108,126,p2,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,48,119,p3,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,90,66,p4,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,44,45,p5,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,134,68,p6,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,206,158,p7,20,recording_2022-08-17_trial2-arm,0
frame_0020.png,131,172,p8,20,recording_2022-08-17_trial2-arm,0
frame_0030.png,104,165,p1,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,110,126,p2,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,53,119,p3,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,90,66,p4,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,43,47,p5,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,132,65,p6,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,206,158,p7,30,recording_2022-08-17_trial2-arm,0
frame_0030.png,136,170,p8,30,recording_2022-08-17_trial2-arm,0
frame_0040.png,118,156,p1,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,123,106,p2,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,72,127,p3,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,79,64,p4,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,56,52,p5,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,126,60,p6,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,199,166,p7,40,recording_2022-08-17_trial2-arm,0
frame_0040.png,151,169,p8,40,recording_2022-08-17_trial2-arm,0
frame_0050.png,117,163,p1,50,recording_2022-08-17_trial2-arm,0
