frame_no,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,0.0,10.347239137547898,11.55870203496762,10.879370864218451,18.87459255972683,8.949973090228259,10.72518984703714,9.090662604034474
1,0.0,10.488603058383765,10.61877444891866,11.486500048900387,15.543169251651255,9.593636580854934,11.101914206518662,10.194048338358414
2,0.0,10.141294987399208,9.902184082501458,11.398656099423334,13.240649527333405,10.553120942563028,11.617395028674352,10.741662520682478
3,0.0,10.363753383722106,9.739512183864267,11.512324993186423,12.06072601016498,10.910581086048197,11.84211110810617,11.21238943606737
4,0.0,10.349252862760972,9.834689585852532,11.708713027912667,11.81123749487952,11.170888190813534,11.89163420278735,11.203402857334329
5,0.0,10.145891334247509,9.864233206516165,11.936343671832212,12.027428880532227,11.281793033606975,11.521108709980371,11.085922300591188
6,0.0,10.197102198390846,9.807706537691786,11.88921591941779,11.831748068149093,11.385033834921934,11.4294849062884,10.913034343794074
7,0.0,10.336453979011171,9.577205786008308,11.745246485929352,11.47945243238817,11.487344416950616,11.505412022165803,11.259706084727878
8,0.0,10.358385223820278,9.522102934905664,11.77952377738366,11.507628603845305,11.535916597216728,11.511308232280452,11.075632543165174
9,0.0,10.242335665928229,9.508370955744436,12.005105427844406,11.693883921221683,11.48186120539124,11.79825341204915,10.80023695262534
10,0.0,10.276471253157307,9.674254003743028,11.991446356662744,11.772936272482417,11.40711019629029,11.629793486888513,10.769387235082004
11,0.0,10.388576475014355,9.570332974389432,11.869357506248887,11.681990910688828,11.27417249665219,11.202556126918312,11.156238597853342
12,0.0,10.19445510074012,9.678007571780768,12.08383221687524,11.947556831850052,11.684889367057137,11.342505920035244,10.586611376777311
13,0.0,10.316045747524868,9.57870282691834,11.55931586790763,11.396369894058942,11.51521007928843,11.867861807614783,11.077809535477371
14,0.0,10.37809625551414,9.353529736988683,11.419860758595313,11.239350568394832,11.604067461415594,11.950581821126647,11.620307256545594
15,0.0,10.473932589627418,9.436405727961676,11.3239165712572,11.195596663559623,11.502460974843984,12.15578507124752,11.863497909487632
16,0.0,10.480280304910083,9.500016235172286,11.297630900347665,11.167748957357212,11.424189377070222,12.031995148396556,12.123422724450212
17,0.0,10.45910048637127,9.477081857478504,11.201822369681892,11.04719563663346,11.465288867592742,12.06457744277058,12.23196816098655
18,0.0,10.595783642558107,9.631013059658384,11.129142257456726,11.107544642314988,11.147306978653068,11.900498359525894,12.075856869968602
19,0.0,10.616224663071293,9.639730705148892,11.05660446651106,11.169447233879731,10.895049040029694,12.064497307727663,12.248872277697586
20,0.0,10.632666827806473,9.623874999348198,11.122533887737168,11.130299857360807,10.830953546649392,12.137122218888669,12.619081286632593
21,0.0,10.82370407737066,9.515455398170976,11.337769995417124,11.298368416008786,10.572337680843402,11.734890045106615,12.3647111642033
22,0.0,10.87558421248457,9.441382642283756,11.285381453809272,11.227463799609808,10.702621387240464,11.51417505015675,12.239126823056628
23,0.0,10.870188892379725,9.45232257105725,11.349308198165184,11.35456832971072,10.632267045773126,11.185049750624264,12.164192341150418
24,0.0,10.80687468010894,9.448415103499345,11.37547478209857,11.401633381688146,10.74112050012389,11.278840494776556,12.067201179821344
25,0.0,10.916797129140484,9.48097220088565,11.520498449474974,11.458804676756452,10.659762531820837,11.154161007905053,11.753194459887418
26,0.0,10.951983490134053,9.522860133471283,11.497856166604814,11.39572939375701,10.651162677166957,11.010635050151388,11.758934086894277
27,0.0,10.90241461527903,9.475386880055144,11.421969318229086,11.40233492342323,10.73410253008315,11.237997747315232,11.660472125753513
28,0.0,10.965623534462935,9.502882968020009,11.656272831136398,11.490706746010892,10.678517335332176,10.96316845859271,11.68786500339592
29,0.0,10.910070146581452,9.431513682040896,11.7349255110622,11.531608431815483,10.855524138397133,11.290697001514562,11.550981985768988
30,0.0,10.669099006992754,9.518337556019851,11.616854199799358,11.400166416797658,11.019801076778414,11.488196519311622,11.391395967077113
31,0.0,10.596835142438382,9.5815118378816,11.664906240415055,11.491227204275887,11.060767381055582,11.264338180696338,11.286716840070149
32,0.0,10.370594615187066,9.690456862566382,11.672597735930935,11.536536526269632,11.398224210085894,11.413592959564696,11.04152831316437
33,0.0,10.352130877284536,9.721183871259194,11.754843078551636,11.698396766214769,11.38615132228387,11.296654444724595,10.879431822165843
34,0.0,10.324996219615468,9.747601193562094,11.599985031950746,11.619609917888871,11.345148111493028,11.152220219875478,11.292418204959958
35,0.0,10.289232026006712,9.702161813252882,11.674844960581398,11.59688222873764,11.300457525216878,11.192876954804484,11.339681469266107
36,0.0,10.286176041983238,9.581216663623271,11.71538900041523,11.670685516338056,11.2282215757211,11.190769521886624,11.365249947207776
37,0.0,10.27649353315415,9.57257691503882,11.779110815668218,11.822366984812287,11.167488879462438,11.226260996777992,11.300440405538987
38,0.0,10.278314039111548,9.564599022267204,11.790284805169856,11.807583830912948,11.167169480968338,11.508075328247823,11.225099794637014
39,0.0,10.564623440545002,9.628007089814108,11.40699987452108,11.352006404127724,11.196756180323744,12.34902657646664,11.487808992993708
40,0.0,10.58088463079724,9.644686113888346,11.102873854981649,10.858795582419038,11.020263133290213,12.344417098762662,12.20542866349856
41,0.0,10.322253576695886,9.305423078458922,10.611835149943554,10.827480815171285,11.542549439626368,12.77076553992523,12.633040493716305
42,0.0,10.352994143343183,9.935691406433367,9.572001925782338,9.972616769150235,11.876794662645946,11.818355814023215,11.482175007065877
43,0.0,10.052061556827512,9.99739678403408,9.555828585626012,10.517855472864357,12.01610949987466,11.513666864508242,11.335403157413811
44,0.0,10.166321337577706,10.16851383759966,9.158572303170114,10.69221516433274,12.131341216899544,11.328856490013418,11.423687764937103
45,0.0,10.242327940188426,10.07795726715401,9.40184241639825,11.261677503725208,12.328431395422026,11.432122779265594,11.164496105532054
46,0.0,10.178455244566347,10.37650623076773,9.526189128042413,11.402172713630208,12.344822301457397,11.1797192815852,11.083719382541252
47,0.0,10.482304327874614,10.937356646785428,9.752488094522588,11.4991375404975,11.982943118889692,11.3518218030506,11.22806580289748
48,0.0,10.098598316989806,10.306912609968707,9.350379215188571,11.171457172369486,11.993463200112544,11.648928343446608,11.45863906004046
49,0.0,10.41353502040813,10.68116449596578,9.7740601228686,11.206874388546458,12.10590057746259,11.783699183736466,11.249094383584488
50,0.0,9.953692899203912,10.460240326193343,9.706752436173074,11.305942684856214,12.14559296475576,11.545659759790794,11.152510940313125
51,0.0,10.212740244098676,10.191832163641076,9.224188914272666,10.817640504172855,12.01375495965535,11.589510576530008,11.147330423770892
52,0.0,10.206128654029774,10.233799651574785,10.173224416411497,10.398323713273522,11.781597977696569,11.781512857420797,10.88618128717193
53,0.0,10.245715115707508,9.834827670556727,10.374705786841329,10.697742698929297,11.952776242964806,12.169089544037984,10.450282642984286
54,0.0,10.262376111685358,9.820976457465724,10.64252858309758,10.741360217642786,11.728466857052236,12.026806138120172,10.493546273873957
55,0.0,10.49213469958513,9.831711301885328,10.69421229054039,11.010479224518058,11.745355407845508,12.125795641586542,10.69207070269472
56,0.0,10.38013087611894,9.962090296617156,10.26909407560353,10.91678567624446,11.83171164011146,12.272983591164252,10.6738700177925
57,0.0,10.145544227748,9.921253046345926,10.464498057343546,10.68993247396456,12.076477773150613,12.187356052453072,10.723246025905013
58,0.0,10.35151357575706,10.249463038104489,10.618427621726015,10.826665902435082,12.473688580994166,12.041961683254389,10.930396732168624
59,0.0,10.187648186359674,9.89950347348666,10.104620374461488,10.309444512568742,11.80301879510892,12.248772059725832,11.204242805916444
60,0.0,10.326465300163408,10.005100783564764,9.9032595714529,10.551072382587758,11.545912461123182,11.690180849182086,11.344272252347482
61,0.0,10.356569116509526,10.12012966342093,9.725736931793003,11.065941787374678,11.63069969165696,12.003827517842826,11.362405433737402
62,0.0,11.992910340934475,11.92179599227322,11.172340882238682,12.290142555042634,12.604556814869278,12.80664296317338,11.348845807421998
63,0.0,11.587907397899713,12.459030301893325,11.271194114164786,12.49531782954972,12.695624402267663,13.142948089132522,11.773458769856967
64,0.0,11.297158949530584,12.953387442371266,11.087406773454694,12.648516642658784,12.681749661785986,13.241082663552602,11.960758694541935
65,0.0,11.24654978588178,13.019743896720668,11.087743237267818,12.430718580053064,12.757525799819096,13.21828214185814,12.058628321064358
66,0.0,11.175983957389734,13.175471030685369,11.060719953503543,12.368714346562744,12.935298114140892,13.177325012993768,12.08033808649208
67,0.0,11.175983957389734,13.175471030685369,11.060719953503543,12.368714346562744,12.935298114140892,13.177325012993768,12.08033808649208
68,0.0,11.185919907842653,13.17650265247636,10.952196843110771,12.266800913979976,12.850567245307197,13.266463311891552,12.104945308665163
69,0.0,11.259917531198935,13.1354418708103,10.956644524175411,12.22725342765018,12.628831909894505,13.124355899840378,11.789801325385085
70,0.0,11.43990075239149,12.978041575381956,10.82123221219825,12.098925464602408,12.681093661315638,12.850330290909092,11.41479585623185
71,0.0,11.444282829590694,13.188288363064606,10.839603302710309,12.15397072634953,12.614953595652327,12.826783759197864,11.566213560326158
72,0.0,11.350034090916932,13.09267164066163,10.546323271128475,12.026659882551725,12.63349163272411,12.22260146905449,11.023170741669643
73,0.0,11.43574361437866,13.068975999091045,10.352134470087252,11.992194211619893,12.672309231978604,11.984637981564063,11.255774867329547
74,0.0,11.475540041580174,12.896428586809504,10.415602255052503,12.266788919413973,12.809658362736,11.90637896557316,11.195649423117835
75,0.0,11.579461947345312,12.811667856692178,10.589741085826669,12.62301611089762,12.74297591989128,12.475653324850455,11.745075092374831
76,0.0,11.385483046108227,12.87680758685057,10.94873380246318,12.598355445190958,12.890438424378075,12.832713988393415,12.0084476101439
77,0.0,11.336513298548557,13.033406660836285,11.021293766759484,12.409055951868526,12.838003310243424,12.792280565716892,11.850161521583235
78,0.0,11.274115089154463,12.8620439385109,11.124503012148669,12.319280896345992,13.027344741089994,13.030013040237682,11.908775047685394
79,0.0,11.185868622058498,13.054897916205318,11.15226869849982,12.381862846554426,12.946861712783814,12.961442315888943,11.934790834306748
80,0.0,11.115172996959148,13.127526039770942,11.141647411221818,12.39973045262631,13.006923318072165,13.167017812667876,11.963522315102226
81,0.0,10.991843265704588,13.502447564424616,11.02382877716627,12.277185158363666,13.068728464643696,13.186939600556933,12.08427452004925
82,0.0,11.235981606230702,13.260405779377768,10.87147771164479,12.220605258758903,13.197250937483586,13.116461208736924,12.257426476151164
83,0.0,11.372520155905612,13.026807021783164,10.85207965021007,12.318245086312002,12.878179284995706,13.190142670963732,12.300160928312629
84,0.0,11.24559381538096,13.342051290620548,10.861674438273802,12.364155621487386,13.08120918165618,13.533071265611415,12.226643834665571
85,0.0,11.38580217674414,13.126779856901813,10.825510764117896,12.056350990864026,13.20146975094772,13.35755591668828,11.928199384928446
86,0.0,11.328907837194292,13.21951934686595,11.008553951579392,12.087427370645631,12.985118625675234,12.95594803324137,11.607397682819723
87,0.0,11.035503833635357,13.30279442138796,11.315807441290822,12.3750205181814,13.01049560875592,13.263723460018769,12.089439526997396
88,0.0,10.882434314481042,13.650109288409045,11.132869565559538,12.165642433613288,12.947551411231997,13.149398825940043,11.850179690888853
89,0.0,10.76984401967072,13.701859974420358,11.11383677618719,12.19321214997561,12.994602969598535,13.188347291611338,11.664052988626764
90,0.0,10.766415106144516,13.72958169230234,11.120138500260914,12.293858013207618,12.77437250296465,13.33868909850391,12.233350575770327
91,0.0,11.01393038413197,13.31096529839137,11.201890167193296,12.030237455366867,12.01302687089116,12.75510663205404,11.640249188493229
92,0.0,11.255531610898103,12.300889323041796,11.666192143870688,12.050382926599458,12.101692002071749,12.530220733739243,11.453906664087038
93,0.0,11.750930237830204,11.984296474110922,11.577719326793574,12.016619029175123,12.601303571584229,12.705536590555695,11.267240654498574
94,0.0,11.82372506371508,11.939740839807095,11.761957530293998,11.747502519977388,12.867566882078284,12.599201245565345,10.93812490700505
95,0.0,11.966873797717463,12.194602674753076,11.702658097401253,11.995078370431012,12.7818976680974,12.697909795956765,11.357770936050567
96,0.0,11.811847290672826,12.33317473050729,12.02693359221602,11.7686457991348,12.932636280435258,12.938538471947185,10.959169028045729
97,0.0,11.56845461781998,12.370330459559776,12.637919069823155,11.93725946668768,12.76672144409608,13.105231761661408,11.03583145916551
