frame_name,x,y,points,frame,video_name,subject
frame_0000.png,203,159,p1,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,198,131,p2,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,190,102,p3,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,169,81,p4,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,147,81,p5,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,139,104,p6,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,142,124,p7,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,156,143,p8,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,157,159,p9,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,160,171,p10,0,recording_2022-08-17_trial2-arm,0
