frame_name,x,y,points,frame,video_name,subject
frame_0000.png,200,150,p1,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,199,140,p2,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,198,130,p3,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,135,137,p4,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,136,145,p5,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,136,153,p6,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,151,133,p7,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,157,140,p8,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,161,148,p9,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,121,63,p10,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,133,65,p11,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,144,68,p12,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,91,52,p13,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,90,55,p14,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,89,59,p15,0,recording_2022-08-17_trial2-arm,0
