frame_name,x,y,points,frame,video_name,subject
frame_0000.png,200,150,p1,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,200,143,p2,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,199,136,p3,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,199,129,p4,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,198,122,p5,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,196,116,p6,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,134,137,p7,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,134,142,p8,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,135,146,p9,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,137,151,p10,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,139,156,p11,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,141,162,p12,0,recording_2022-08-17_trial2-arm,0
